python trading_bot.py
2026-07-08 10:04:56,658 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:04:56,658 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:05:59,181 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:05:59,182 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:07:01,338 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:07:01,338 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:08:04,504 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:08:04,505 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:09:07,520 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:09:07,522 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:10:09,881 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:10:09,882 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:11:12,823 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:11:12,824 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:11:14,861 | INFO | [PAPER] BUY 9 SBIN @ ~1031.300048828125
2026-07-08 10:11:14,861 | INFO | EXITED [STOP-LOSS]: SBIN @ 1031.300048828125 | P&L: ₹-76.50
2026-07-08 10:12:15,574 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:12:15,575 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:13:18,328 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:13:18,328 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:14:20,783 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:14:20,784 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:14:20,998 | INFO | [PAPER] SELL 1 MARUTI @ ~14255.0
2026-07-08 10:14:20,998 | INFO | ENTERED: SELL 1 MARUTI @ 14255.0 | SL=14499.0 | Target=13889.0
2026-07-08 10:15:23,858 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:15:23,859 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:16:27,917 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:16:27,917 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:17:30,364 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:17:30,365 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:18:33,911 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:18:33,912 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:19:36,535 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:19:36,535 | WARNING | No data for TATAMOTORS — skipping
2026-07-08 10:20:39,081 | ERROR | $TATAMOTORS.NS: possibly delisted; no price data found  (period=1d) (Yahoo error = "No data found, symbol may be delisted")
2026-07-08 10:20:39,082 | WARNING | No data for TATAMOTORS — skipping
